Group,MAG,Completeness,Contamination,Strain_Heterogeneity,N50,Assembly_Type,Assembly_Source,Contig_count,Assembly_size
HQ Winners,C017-M36x20_sub.LR_stool,91.61,0,0,220180,MetaFlye2 (LR),Stool,34,3978365
HQ Winners,29-1_53x29-1_late__29-1_53.009.LR_stool,91.72,0,0,162044,MetaFlye2 (LR),Stool,15,2088439
HQ Winners,40-1_93x0.LR_stool,91.8,0,0,246706,MetaFlye2 (LR),Stool,8,1963159
HQ Winners,39-2_66xbin.9_sub.LR_stool,91.84,0,0,2495656,MetaFlye2 (LR),Stool,6,2646318
HQ Winners,40-1_93x102.LR_stool,91.87,0,0,580477,MetaFlye2 (LR),Stool,11,3096562
HQ Winners,17-2_36_stoolxbin.37.SR_stool,91.9,0,0,153010,MetaSPAdes (SR),Stool,44,2360302
HQ Winners,47-1_37x42.LR_stool,91.95,0,0,589039,MetaFlye2 (LR),Stool,8,2875167
HQ Winners,47-2_10xbin.5.SR_stool,91.95,0,0,109621,MetaSPAdes (SR),Stool,38,2999560
HQ Winners,C043-M24xC043-M24.015.SR_stool,91.95,0,0,446749,MetaSPAdes (SR),Stool,7,1897479
HQ Winners,17-1_36_stoolx17-1_36_stool.029.SR_stool,92.01,0,0,61743,MetaSPAdes (SR),Stool,47,1794105
HQ Winners,C017-M00xbin.36_sub.SR_stool,92.03,0,0,39159,MetaSPAdes (SR),Stool,154,2675489
HQ Winners,14-1_N14_stoolxbin.9.SR_stool,92.24,0,0,75005,MetaSPAdes (SR),Stool,64,2227597
HQ Winners,C047-M24_stoolx103.SR_stool,92.27,0,0,333836,MetaSPAdes (SR),Stool,17,2421031
HQ Winners,14-2_11_stoolxbin.31.SR_stool,92.36,0,0,2057816,MetaSPAdes (SR),Stool,6,2766651
HQ Winners,43-1_14xbin.6.SR_stool,92.4,0,0,155552,MetaSPAdes (SR),Stool,39,2503880
HQ Winners,C014-M36xC014-M36.018.SR_stool,92.42,0,0,1198873,MetaSPAdes (SR),Stool,8,1311666
HQ Winners,14-2_95xbin.85.LR_stool,92.44,0,0,820145,MetaFlye2 (LR),Stool,5,3006853
HQ Winners,43-1_1x48_sub.SR_stool,92.51,0,0,19238,MetaSPAdes (SR),Stool,130,1866538
HQ Winners,19-1_35_stoolx19-1_35_stool.014.SR_stool,92.52,0,0,286868,MetaSPAdes (SR),Stool,32,2878991
HQ Winners,29-1_33_BAPxbin.37.SR_plate,92.52,0,0,291479,MetaSPAdes (SR),Plate,15,2395200
HQ Winners,29-1_95x29-1_95.041.SR_stool,92.58,0,0,189906,MetaSPAdes (SR),Stool,25,2064623
HQ Winners,C039-M06_stoolx114.SR_stool,92.62,0,0,252782,MetaSPAdes (SR),Stool,16,2669930
HQ Winners,19-2_10x1_sub.SR_stool,92.78,0,0,48702,MetaSPAdes (SR),Stool,94,3193844
HQ Winners,20-1_35_stoolxbin.35.SR_stool,92.86,0,0,192358,MetaSPAdes (SR),Stool,18,2408295
HQ Winners,39-1_94xbin.49.SR_stool,92.98,0,0,250265,MetaSPAdes (SR),Stool,15,2458376
HQ Winners,C040-M24xC040-M24.030.SR_stool,92.98,0,0,134054,MetaSPAdes (SR),Stool,30,2222085
HQ Winners,C017-M36x86.SR_stool,93.04,0,0,279497,MetaSPAdes (SR),Stool,29,4181233
HQ Winners,14-2_9_stoolx58_sub.SR_stool,93.21,0,0,26118,MetaSPAdes (SR),Stool,218,3309616
HQ Winners,C008-M00x37_sub.LR_stool,93.27,0,0,385341,MetaFlye2 (LR),Stool,14,3046269
HQ Winners,14-2_95x75.LR_stool,93.29,0,0,1727695,MetaFlye2 (LR),Stool,5,2357319
HQ Winners,19-1_95x19-1_late__19-1_95.019.LR_stool,93.29,0,0,483098,MetaFlye2 (LR),Stool,8,2683304
HQ Winners,29-2_95xbin.68.SR_stool,93.29,0,0,50066,MetaSPAdes (SR),Stool,94,2461442
HQ Winners,39-2_66x2.SR_stool,93.29,0,0,178549,MetaSPAdes (SR),Stool,17,2043779
HQ Winners,40-2_35_stoolx40-2_35_stool.013.SR_stool,93.29,0,0,143920,MetaSPAdes (SR),Stool,34,2129040
HQ Winners,14-1_11_stoolx86.SR_stool,93.31,0,0,109234,MetaSPAdes (SR),Stool,89,4851593
HQ Winners,C040-M00x50_sub.SR_stool,93.31,0,0,60436,MetaSPAdes (SR),Stool,72,2521109
HQ Winners,C019-M07_WCx0_sub.SR_plate,93.33,0,0,18546,MetaSPAdes (SR),Plate,326,3345019
HQ Winners,39-2_N18x71_sub.SR_stool,93.35,0,0,13315,MetaSPAdes (SR),Stool,267,2442426
HQ Winners,40-2_13x20.LR_stool,93.42,0,0,250377,MetaFlye2 (LR),Stool,37,3200992
HQ Winners,20-2_64xbin.62.LR_stool,93.64,0,0,512520,MetaFlye2 (LR),Stool,8,2566692
HQ Winners,C047-M24x52.LR_stool,93.67,0,0,462060,MetaFlye2 (LR),Stool,10,2891218
HQ Winners,43-2_7_stoolx31.SR_stool,93.81,0,0,74757,MetaSPAdes (SR),Stool,83,3489949
HQ Winners,C020-M00x149.SR_stool,93.95,0,0,56186,MetaSPAdes (SR),Stool,55,1482268
HQ Winners,C008-M00_stoolx17.SR_stool,93.96,0,0,182134,MetaSPAdes (SR),Stool,29,2675523
HQ Winners,C017-M36x127.SR_stool,93.96,0,0,149448,MetaSPAdes (SR),Stool,20,2458655
HQ Winners,C029-M24xbin.50.LR_stool,94.01,0,0,653446,MetaFlye2 (LR),Stool,11,2648172
HQ Winners,19-2_6_stoolx35_sub.SR_stool,94.02,0,0,123723,MetaSPAdes (SR),Stool,26,1731762
HQ Winners,C039-M06_BAPx9_sub.SR_plate,94.05,0,0,112693,MetaSPAdes (SR),Plate,48,3784931
HQ Winners,40-1_93x40-1_late__40-1_93.003_sub.LR_stool,94.06,0,0,2036184,MetaFlye2 (LR),Stool,14,3196535
HQ Winners,47-1_7_stoolxbin.35.SR_stool,94.1,0,0,1325941,MetaSPAdes (SR),Stool,2,1631626
HQ Winners,14-2_6_stoolxbin.20.SR_stool,94.15,0,0,978720,MetaSPAdes (SR),Stool,6,2847627
HQ Winners,C043-M24_LKVxbin.6.SR_plate,94.17,0,0,363522,MetaSPAdes (SR),Plate,28,5628891
HQ Winners,20-2_18xbin.3.SR_stool,94.22,0,0,334180,MetaSPAdes (SR),Stool,28,2934707
HQ Winners,14-1_6_stoolxbin.35_sub.SR_stool,94.3,0,0,427943,MetaSPAdes (SR),Stool,13,3756210
HQ Winners,29-1_33_BAPxbin.17_sub.SR_plate,94.3,0,0,59884,MetaSPAdes (SR),Plate,137,5018300
HQ Winners,29-1_42x29-1_42.010_sub.SR_stool,94.3,0,0,151991,MetaSPAdes (SR),Stool,79,3264498
HQ Winners,40-2_94x40.SR_stool,94.3,0,0,31951,MetaSPAdes (SR),Stool,116,2123137
HQ Winners,19-1_95x23.LR_stool,94.33,0,0,585948,MetaFlye2 (LR),Stool,6,2630250
HQ Winners,C029-M00_BAPxC029-M00_BAP.001_sub.SR_plate,94.41,0,0,445446,MetaSPAdes (SR),Plate,36,2502682
HQ Winners,20-1_35_stoolx110.SR_stool,94.44,0,0,121233,MetaSPAdes (SR),Stool,46,2354871
HQ Winners,39-2_N7xbin.33.SR_stool,94.47,0,0,91466,MetaSPAdes (SR),Stool,45,2364047
HQ Winners,43-2_12x24.SR_stool,94.47,0,0,45322,MetaSPAdes (SR),Stool,116,2842930
HQ Winners,C019-M38xbin.67.SR_stool,94.47,0,0,92887,MetaSPAdes (SR),Stool,81,3056032
HQ Winners,20-2_39xbin.85.SR_stool,94.54,0,0,120499,MetaSPAdes (SR),Stool,28,2098609
HQ Winners,40-2_10xbin.13.SR_stool,94.56,0,0,81357,MetaSPAdes (SR),Stool,68,2944310
HQ Winners,C039-M24xC039_FIXED__C039-M24.055.LR_stool,94.56,0,0,2460066,MetaFlye2 (LR),Stool,3,2516448
HQ Winners,39-1_94x5.LR_stool,94.62,0,0,765690,MetaFlye2 (LR),Stool,6,2708951
HQ Winners,17-2_99_stoolx17-2_99_stool.012_sub.SR_stool,94.63,0,0,730166,MetaSPAdes (SR),Stool,25,2129078
HQ Winners,43-1_46x37_sub.SR_stool,94.63,0,0,107531,MetaSPAdes (SR),Stool,48,2848018
HQ Winners,C039-M06_WCxC039-M06_WC.007_sub.SR_plate,94.78,0,0,1919546,MetaSPAdes (SR),Plate,24,5841137
HQ Winners,17-2_16_stoolx104.SR_stool,94.94,0,0,154715,MetaSPAdes (SR),Stool,28,2987124
HQ Winners,40-2_94x17.LR_stool,94.94,0,0,482953,MetaFlye2 (LR),Stool,6,2399102
HQ Winners,20-2_76xbin.24.LR_stool,94.97,0,0,267331,MetaFlye2 (LR),Stool,14,2753458
HQ Winners,20-2_14xbin.30.SR_stool,95.02,0,0,27760,MetaSPAdes (SR),Stool,143,2126934
HQ Winners,C020-M24x60_sub.SR_stool,95.02,0,0,88490,MetaSPAdes (SR),Stool,61,2465032
HQ Winners,40-1_6_stoolxbin.16_sub.SR_stool,95.03,0,0,87046,MetaSPAdes (SR),Stool,60,2840448
HQ Winners,39-1_94x39-1_94.069_sub.SR_stool,95.09,0,0,21546,MetaSPAdes (SR),Stool,200,2505997
HQ Winners,C040-M00xbin.92.SR_stool,95.09,0,0,411327,MetaSPAdes (SR),Stool,20,4478329
HQ Winners,08-2_N6x08-2_N6.029.SR_stool,95.16,0,0,244932,MetaSPAdes (SR),Stool,26,3400726
HQ Winners,C008-M00xbin.39.LR_stool,95.17,0,0,713867,MetaFlye2 (LR),Stool,13,6055196
HQ Winners,C040-M06xC040-M06.001.SR_stool,95.17,0,0,385997,MetaSPAdes (SR),Stool,23,3192156
HQ Winners,08-1_36_stoolxbin.35.SR_stool,95.24,0,0,214455,MetaSPAdes (SR),Stool,19,3151290
HQ Winners,17-1_10x23.LR_stool,95.24,0,0,802989,MetaFlye2 (LR),Stool,11,6503820
HQ Winners,43-1_90xbin.37.SR_stool,95.24,0,0,135841,MetaSPAdes (SR),Stool,43,2555588
HQ Winners,08-1_36_stoolxbin.63.SR_stool,95.3,0,0,34480,MetaSPAdes (SR),Stool,129,2593414
HQ Winners,08-2_36_stoolx57.SR_stool,95.3,0,0,208193,MetaSPAdes (SR),Stool,22,2783238
HQ Winners,20-2_35xbin.43_sub.SR_stool,95.3,0,0,93111,MetaSPAdes (SR),Stool,50,2806104
HQ Winners,29-1_88_LKVx29-1_88_LKV.003.SR_plate,95.3,0,0,59061,MetaSPAdes (SR),Plate,71,2654997
HQ Winners,39-2_14xbin.11.LR_stool,95.3,0,0,757357,MetaFlye2 (LR),Stool,11,3235527
HQ Winners,39-2_24xbin.45.SR_stool,95.3,0,0,70022,MetaSPAdes (SR),Stool,56,2610344
HQ Winners,39-2_94x111.SR_stool,95.3,0,0,35206,MetaSPAdes (SR),Stool,102,2106220
HQ Winners,43-1_90xbin.35.SR_stool,95.3,0,0,229007,MetaSPAdes (SR),Stool,13,2760921
HQ Winners,14-1_95_stoolx6.SR_stool,95.36,0,0,26097,MetaSPAdes (SR),Stool,147,2416490
HQ Winners,14-1_95_stoolx50_sub.SR_stool,95.41,0,0,53957,MetaSPAdes (SR),Stool,92,2642588
HQ Winners,C020-M24x63_sub.SR_stool,95.41,0,0,132529,MetaSPAdes (SR),Stool,35,2421674
HQ Winners,14-2_95x14-2_late__14-2_95.054.LR_stool,95.45,0,0,2319146,MetaFlye2 (LR),Stool,2,2543915
HQ Winners,40-2_16x33.SR_stool,95.48,0,0,535130,MetaSPAdes (SR),Stool,7,1689295
HQ Winners,39-1_94x84.SR_stool,95.53,0,0,33646,MetaSPAdes (SR),Stool,150,2644514
HQ Winners,17-2_N11_stoolxbin.33.SR_stool,95.57,0,0,58649,MetaSPAdes (SR),Stool,159,5217177
HQ Winners,19-2_12xbin.5.LR_stool,95.57,0,0,606077,MetaFlye2 (LR),Stool,9,3981888
HQ Winners,C008-M00_stoolxC008-M00_stool.019.SR_stool,95.57,0,0,261452,MetaSPAdes (SR),Stool,23,3215959
HQ Winners,47-1_10x12.LR_stool,95.58,0,0,424792,MetaFlye2 (LR),Stool,16,2960740
HQ Winners,C029-M24_stoolx65_sub.SR_stool,95.59,0,0,44066,MetaSPAdes (SR),Stool,88,2272424
HQ Winners,29-1_42x29-1_42.005.SR_stool,95.6,0,0,86567,MetaSPAdes (SR),Stool,56,2337057
HQ Winners,20-2_35x7.SR_stool,95.64,0,0,267265,MetaSPAdes (SR),Stool,28,2129711
HQ Winners,C040-M00x66.SR_stool,95.64,0,0,67426,MetaSPAdes (SR),Stool,66,2625613
HQ Winners,43-2_36_stoolxbin.25.SR_stool,95.65,0,0,121041,MetaSPAdes (SR),Stool,42,2417719
HQ Winners,C008-M06x28.LR_stool,95.69,0,0,231423,MetaFlye2 (LR),Stool,25,2977874
HQ Winners,17-1_16_stoolx17-1_16_stool.034.SR_stool,95.7,0,0,68851,MetaSPAdes (SR),Stool,50,1819587
HQ Winners,29-1_33xbin.60.SR_stool,95.7,0,0,195609,MetaSPAdes (SR),Stool,16,1833078
HQ Winners,29-2_36_stoolx102.SR_stool,95.7,0,0,57287,MetaSPAdes (SR),Stool,57,1803062
HQ Winners,47-1_13x47-1_early__47-1_13.025.LR_stool,95.7,0,0,1856608,MetaFlye2 (LR),Stool,3,1882010
HQ Winners,C017-M00x95.SR_stool,95.7,0,0,47109,MetaSPAdes (SR),Stool,126,4045952
HQ Winners,C029-M00_stoolxbin.95.SR_stool,95.7,0,0,68028,MetaSPAdes (SR),Stool,32,1785021
HQ Winners,29-2_17x10.LR_stool,95.75,0,0,537919,MetaFlye2 (LR),Stool,13,2851260
HQ Winners,C017-M36xbin.56.LR_stool,95.8,0,0,212250,MetaFlye2 (LR),Stool,11,2409391
HQ Winners,47-1_7_stoolx8.SR_stool,95.81,0,0,98759,MetaSPAdes (SR),Stool,45,2437524
HQ Winners,40-1_93x6.SR_stool,95.82,0,0,39836,MetaSPAdes (SR),Stool,104,2507119
HQ Winners,20-1_35x67.LR_stool,95.84,0,0,385766,MetaFlye2 (LR),Stool,18,2795801
HQ Winners,39-1_94x47.SR_stool,95.84,0,0,17747,MetaSPAdes (SR),Stool,231,2429428
HQ Winners,29-1_10x29-1_early__29-1_10.009.LR_stool,95.89,0,0,504736,MetaFlye2 (LR),Stool,19,4897595
HQ Winners,40-1_15x21_sub.SR_stool,95.92,0,0,219951,MetaSPAdes (SR),Stool,47,3102793
HQ Winners,39-2_66xbin.38.SR_stool,95.95,0,0,44896,MetaSPAdes (SR),Stool,88,2282190
HQ Winners,20-2_47xbin.32.SR_stool,95.97,0,0,29479,MetaSPAdes (SR),Stool,124,2301161
HQ Winners,20-2_88x129.SR_stool,95.97,0,0,293787,MetaSPAdes (SR),Stool,18,2827768
HQ Winners,40-1_35_stoolx40-1_35_stool.036.SR_stool,95.97,0,0,192935,MetaSPAdes (SR),Stool,16,1958558
HQ Winners,40-2_16xbin.38.SR_stool,95.97,0,0,47600,MetaSPAdes (SR),Stool,176,3532908
HQ Winners,43-1_46xbin.53.SR_stool,95.97,0,0,160293,MetaSPAdes (SR),Stool,30,2535833
HQ Winners,47-1_37x47-1_late__47-1_37.012.LR_stool,95.97,0,0,1763753,MetaFlye2 (LR),Stool,20,3100281
HQ Winners,C014-M06xbin.87_sub.SR_stool,95.97,0,0,45243,MetaSPAdes (SR),Stool,83,2360819
HQ Winners,C039-M06_BAPxC039-M06_BAP.010.SR_plate,95.97,0,0,109348,MetaSPAdes (SR),Plate,74,3562726
HQ Winners,C047-M24_stoolx23.SR_stool,95.97,0,0,100151,MetaSPAdes (SR),Stool,51,2155772
HQ Winners,08-2_14x08-2_14.015_sub.SR_stool,95.99,0,0,45012,MetaSPAdes (SR),Stool,110,2837068
HQ Winners,C019-M22x67.LR_stool,95.99,0,0,411243,MetaFlye2 (LR),Stool,13,3149987
HQ Winners,14-2_36x14.LR_stool,96,0,0,4014969,MetaFlye2 (LR),Stool,2,4052040
HQ Winners,39-1_36_stoolx39-1_36_stool.012_sub.SR_stool,96.14,0,0,321002,MetaSPAdes (SR),Stool,23,3235594
HQ Winners,C014-M00xC014__C014-M00.039.LR_stool,96.15,0,0,780903,MetaFlye2 (LR),Stool,14,4409965
HQ Winners,17-1_36_stoolxbin.8_sub.SR_stool,96.17,0,0,63560,MetaSPAdes (SR),Stool,65,2549365
HQ Winners,08-2_9xbin.33.LR_stool,96.2,0,0,754328,MetaFlye2 (LR),Stool,11,4034058
HQ Winners,17-1_6_stoolx16_sub.SR_stool,96.2,0,0,158961,MetaSPAdes (SR),Stool,47,3445584
HQ Winners,19-2_12xbin.14.SR_stool,96.23,0,0,183902,MetaSPAdes (SR),Stool,28,2668734
HQ Winners,40-2_94x71.SR_stool,96.23,0,0,37370,MetaSPAdes (SR),Stool,143,2942825
HQ Winners,C019-M38xbin.2.SR_stool,96.23,0,0,43551,MetaSPAdes (SR),Stool,104,2532621
HQ Winners,C040-M06xbin.58.SR_stool,96.27,0,0,19585,MetaSPAdes (SR),Stool,226,2263182
HQ Winners,47-2_37x63.LR_stool,96.36,0,0,255644,MetaFlye2 (LR),Stool,25,2977520
HQ Winners,C029-M36x30.SR_stool,96.41,0,0,207863,MetaSPAdes (SR),Stool,31,3095253
HQ Winners,C019-M00xbin.48.LR_stool,96.42,0,0,2204299,MetaFlye2 (LR),Stool,2,2692668
HQ Winners,17-2_16x17-2_late__17-2_16.029.LR_stool,96.45,0,0,4044875,MetaFlye2 (LR),Stool,1,4044875
HQ Winners,20-2_97x20-2_late__20-2_97.023.LR_stool,96.48,0,0,1256928,MetaFlye2 (LR),Stool,6,2057493
HQ Winners,29-1_18_stoolx76.SR_stool,96.48,0,0,128951,MetaSPAdes (SR),Stool,45,2877898
HQ Winners,17-1_36_stoolxbin.27.SR_stool,96.49,0,0,267752,MetaSPAdes (SR),Stool,23,3894203
HQ Winners,29-2_N17x29-2_N17.007.SR_stool,96.51,0,0,130743,MetaSPAdes (SR),Stool,42,2836429
HQ Winners,20-2_76x67.SR_stool,96.6,0,0,30064,MetaSPAdes (SR),Stool,139,2462957
HQ Winners,39-2_36x39-2_36.024.SR_stool,96.6,0,0,312924,MetaSPAdes (SR),Stool,30,3129651
HQ Winners,C039-M06_stoolx63.SR_stool,96.6,0,0,530933,MetaSPAdes (SR),Stool,7,2228051
HQ Winners,47-1_17xbin.13.SR_stool,96.62,0,0,553717,MetaSPAdes (SR),Stool,12,3226077
HQ Winners,C014-M36xbin.34.SR_stool,96.62,0,0,144705,MetaSPAdes (SR),Stool,28,2666069
HQ Winners,20-1_35_stoolx118.SR_stool,96.64,0,0,67376,MetaSPAdes (SR),Stool,93,2829111
HQ Winners,20-1_35_stoolxbin.66.SR_stool,96.64,0,0,213233,MetaSPAdes (SR),Stool,43,3247234
HQ Winners,29-1_20x0.SR_stool,96.64,0,0,20169,MetaSPAdes (SR),Stool,176,2348420
HQ Winners,29-1_20xbin.39.SR_stool,96.64,0,0,91263,MetaSPAdes (SR),Stool,46,2476758
HQ Winners,29-1_95_DP_BAPcstxbin.29.SR_plate,96.64,0,0,178692,MetaSPAdes (SR),Plate,20,2128516
HQ Winners,39-2_66x39.SR_stool,96.64,0,0,23822,MetaSPAdes (SR),Stool,207,2719836
HQ Winners,C020-M00x61.SR_stool,96.64,0,0,147366,MetaSPAdes (SR),Stool,23,2285975
HQ Winners,C039-M06xC039_FIXED__C039-M06.002.LR_stool,96.64,0,0,2669843,MetaFlye2 (LR),Stool,2,2675859
HQ Winners,C043-M36xbin.29.SR_stool,96.64,0,0,82046,MetaSPAdes (SR),Stool,58,2117832
HQ Winners,C047-M07_stoolx26.SR_stool,96.64,0,0,709790,MetaSPAdes (SR),Stool,11,2602210
HQ Winners,08-1_6x3.LR_stool,96.68,0,0,734990,MetaFlye2 (LR),Stool,7,2735735
HQ Winners,19-1_6xbin.1.LR_stool,96.68,0,0,1993726,MetaFlye2 (LR),Stool,2,2836218
HQ Winners,8-2_9_DP_LKVxbin.1.SR_plate,96.71,0,0,31733,MetaSPAdes (SR),Plate,200,3839626
HQ Winners,19-1_16xbin.13.LR_stool,96.76,0,0,1122744,MetaFlye2 (LR),Stool,3,3432076
HQ Winners,29-2_95x29-2_late__29-2_95.030.LR_stool,96.76,0,0,559745,MetaFlye2 (LR),Stool,11,3181833
HQ Winners,08-2_N6x24.SR_stool,96.77,0,0,474915,MetaSPAdes (SR),Stool,20,2774235
HQ Winners,17-1_36_stoolxbin.23.SR_stool,96.77,0,0,161639,MetaSPAdes (SR),Stool,28,2629297
HQ Winners,17-2_16xbin.17.LR_stool,96.77,0,0,1855266,MetaFlye2 (LR),Stool,1,1855266
HQ Winners,29-1_8_stoolx29-1_8_stool.012_sub.SR_stool,96.79,0,0,142956,MetaSPAdes (SR),Stool,21,2241866
HQ Winners,17-2_13xbin.11_sub.LR_stool,96.84,0,0,315956,MetaFlye2 (LR),Stool,18,3778421
HQ Winners,20-2_12x34.SR_stool,96.92,0,0,49807,MetaSPAdes (SR),Stool,84,2305158
HQ Winners,19-1_95x44.LR_stool,96.94,0,0,641224,MetaFlye2 (LR),Stool,6,2418487
HQ Winners,C029-M00_stoolxbin.30.SR_stool,96.96,0,0,144444,MetaSPAdes (SR),Stool,35,2994951
HQ Winners,08-2_N6xbin.22.SR_stool,96.97,0,0,287993,MetaSPAdes (SR),Stool,21,3285005
HQ Winners,08-1_36_stoolxbin.24.SR_stool,96.98,0,0,27498,MetaSPAdes (SR),Stool,144,2478438
HQ Winners,08-2_36_stoolx44.SR_stool,96.98,0,0,17943,MetaSPAdes (SR),Stool,241,2543898
HQ Winners,14-1_36_stoolxbin.43.SR_stool,96.98,0,0,149164,MetaSPAdes (SR),Stool,23,2019095
HQ Winners,47-2_7_stoolxbin.46.SR_stool,97,0,0,291457,MetaSPAdes (SR),Stool,18,2416428
HQ Winners,17-2_99x63.LR_stool,97.09,0,0,532557,MetaFlye2 (LR),Stool,10,2766799
HQ Winners,C029-M00_stoolxC029-M00_stool.046.SR_stool,97.09,0,0,71586,MetaSPAdes (SR),Stool,69,2685603
HQ Winners,29-1_67xbin.35.SR_stool,97.1,0,0,112507,MetaSPAdes (SR),Stool,40,2332732
HQ Winners,C029-M00_stoolxbin.57.SR_stool,97.12,0,0,392556,MetaSPAdes (SR),Stool,21,4676187
HQ Winners,39-2_20x48.SR_stool,97.13,0,0,77346,MetaSPAdes (SR),Stool,63,2952687
HQ Winners,14-2_36x57.LR_stool,97.15,0,0,563051,MetaFlye2 (LR),Stool,6,2701256
HQ Winners,19-1_35_stoolxbin.67.SR_stool,97.15,0,0,29914,MetaSPAdes (SR),Stool,159,2833640
HQ Winners,20-2_97x16.LR_stool,97.15,0,0,463379,MetaFlye2 (LR),Stool,10,2756152
HQ Winners,C008-M06x101_sub.SR_stool,97.16,0,0,40472,MetaSPAdes (SR),Stool,157,3468472
HQ Winners,14-2_11_stoolx14-2_11_stool.023.SR_stool,97.17,0,0,116809,MetaSPAdes (SR),Stool,57,2689268
HQ Winners,8-1_11_DP_LKVx8-1_11_DP_LKV.004.SR_plate,97.17,0,0,28008,MetaSPAdes (SR),Plate,249,4117660
HQ Winners,29-2_36_stoolx47.SR_stool,97.23,0,0,68996,MetaSPAdes (SR),Stool,65,2760012
HQ Winners,19-1_95x19-1_late__19-1_95.037.LR_stool,97.25,0,0,2953069,MetaFlye2 (LR),Stool,4,2983782
HQ Winners,C029-M36x16.LR_stool,97.25,0,0,1475409,MetaFlye2 (LR),Stool,3,2232369
HQ Winners,08-1_97xbin.73.SR_stool,97.26,0,0,110171,MetaSPAdes (SR),Stool,31,2493828
HQ Winners,47-1_37_stoolx83.SR_stool,97.26,0,0,379851,MetaSPAdes (SR),Stool,21,2931248
HQ Winners,17-1_100_stoolx17-1_100_stool.007.SR_stool,97.27,0,0,376061,MetaSPAdes (SR),Stool,10,2412547
HQ Winners,19-2_95x19-2_late__19-2_95.006.LR_stool,97.27,0,0,1256284,MetaFlye2 (LR),Stool,5,2460091
HQ Winners,20-2_97x20-2_97.030.SR_stool,97.27,0,0,204564,MetaSPAdes (SR),Stool,11,2296307
HQ Winners,40-1_93x40-1_late__40-1_93.010.LR_stool,97.27,0,0,1004648,MetaFlye2 (LR),Stool,4,2538889
HQ Winners,47-1_37_stoolx47-1_37_stool.033.SR_stool,97.27,0,0,227043,MetaSPAdes (SR),Stool,13,2304567
HQ Winners,14-1_36_stoolx113.SR_stool,97.28,0,0,498349,MetaSPAdes (SR),Stool,31,3383107
HQ Winners,14-2_36_stoolx79_sub.SR_stool,97.28,0,0,602462,MetaSPAdes (SR),Stool,21,3310830
HQ Winners,39-2_13xbin.27.SR_stool,97.28,0,0,764266,MetaSPAdes (SR),Stool,15,3132297
HQ Winners,C008-M36x25.LR_stool,97.28,0,0,666796,MetaFlye2 (LR),Stool,11,3938077
HQ Winners,C017-M36xC017-M36.036.SR_stool,97.28,0,0,300327,MetaSPAdes (SR),Stool,26,3274473
HQ Winners,C043-M07_stoolx55.SR_stool,97.31,0,0,101036,MetaSPAdes (SR),Stool,77,4256877
HQ Winners,08-1_97x16_sub.SR_stool,97.32,0,0,134382,MetaSPAdes (SR),Stool,32,2428870
HQ Winners,17-2_99_stoolxbin.67.SR_stool,97.32,0,0,80056,MetaSPAdes (SR),Stool,43,2010451
HQ Winners,19-1_95x19-1_late__19-1_95.039.LR_stool,97.32,0,0,2368056,MetaFlye2 (LR),Stool,32,3705731
